,VideoId,True labels,Pred labels,Confidence
0,PA8l,[ 89 201],"[38, 33, 28, 78, 86, 13, 8, 257, 61, 56]","[0.99989533, 0.9998684, 0.99981165, 0.9995904, 0.999375, 0.99353725, 0.98864746, 0.9852586, 0.9777262, 0.9678587]"
1,x48l,[305],"[2, 7, 46, 109, 44, 145, 129, 114, 48, 155]","[0.99999404, 0.9999155, 0.9971129, 0.9969275, 0.9965297, 0.99597615, 0.9931612, 0.99067026, 0.9906156, 0.9904752]"
2,HP8l,[ 4 10 13],"[4, 3, 13, 10, 6, 9, 54, 41, 33, 34]","[0.9999995, 0.9999988, 0.9999896, 0.9999846, 0.99935627, 0.99899775, 0.9978657, 0.9915205, 0.98656964, 0.9795966]"
3,HL8l,[ 21  23  24  73 504],"[21, 23, 24, 73, 131, 74, 684, 115, 554, 167]","[0.9999997, 0.9999987, 0.9999976, 0.9998243, 0.9884939, 0.98842657, 0.98429585, 0.9835588, 0.97686344, 0.9647678]"
4,er8l,[  0   1 139],"[0, 1, 36, 63, 132, 335, 94, 142, 306, 167]","[1.0, 1.0, 0.99999535, 0.99968714, 0.99915695, 0.99907357, 0.9990733, 0.99806666, 0.9978785, 0.99762976]"
5,LH8l,[6],"[6, 3, 8, 4, 13, 41, 10, 54, 31, 47]","[0.9999527, 0.9996184, 0.9973868, 0.9908736, 0.9893795, 0.98773724, 0.9622831, 0.93378127, 0.9237011, 0.9205955]"
6,AG8l,[ 26 466],"[26, 574, 609, 194, 596, 610, 526, 215, 817, 250]","[0.9998546, 0.9837824, 0.9799846, 0.9799427, 0.9760436, 0.9690685, 0.9637393, 0.96161187, 0.95755976, 0.95656455]"
7,E68l,[   2    7 1000],"[2, 90, 7, 73, 23, 59, 24, 21, 131, 77]","[0.99946576, 0.995607, 0.9952446, 0.98070085, 0.9664861, 0.95951605, 0.9591807, 0.9582039, 0.95238495, 0.9505554]"
8,ni8l,[181 216],"[39, 66, 202, 50, 121, 222, 293, 233, 207, 850]","[0.99987274, 0.99842477, 0.99840033, 0.9936596, 0.984286, 0.98203254, 0.9819858, 0.9807064, 0.9789996, 0.9750546]"
9,xZ8l,[993],"[11, 22, 20, 29, 112, 32, 176, 406, 85, 37]","[0.9991578, 0.9990548, 0.9990202, 0.9971826, 0.992357, 0.99191093, 0.9643128, 0.96228176, 0.95744973, 0.94962835]"
10,Wi8l,[53 58],"[0, 17, 12, 1, 85, 118, 147, 19, 94, 142]","[0.99735594, 0.9743371, 0.9707631, 0.95230544, 0.9501765, 0.946707, 0.9427776, 0.9390338, 0.92274714, 0.91729057]"
11,LZ8l,[ 62 411],"[45, 51, 30, 101, 990, 2, 411, 519, 43, 55]","[0.9981632, 0.99732697, 0.9936497, 0.9920146, 0.98803633, 0.98485935, 0.9808945, 0.9791944, 0.9711795, 0.9677204]"
12,f88l,[  1  46 264],"[2, 46, 155, 44, 145, 51, 56, 162, 138, 109]","[0.99969614, 0.99945164, 0.99812746, 0.9974776, 0.9967929, 0.9957342, 0.99037826, 0.98981726, 0.98889685, 0.980864]"
13,R48l,[12],"[63, 23, 78, 24, 21, 454, 539, 73, 1, 246]","[0.98408234, 0.9816153, 0.9811894, 0.96319103, 0.9609996, 0.9580695, 0.9360328, 0.9358056, 0.93524194, 0.9308964]"
14,RX8l,[3],"[3, 4, 9, 6, 10, 28, 37, 38, 33, 31]","[0.99999595, 0.99999595, 0.99966973, 0.9979199, 0.9970933, 0.99439794, 0.9892396, 0.98541206, 0.98285985, 0.91422886]"
15,Z78l,[ 11  20 123 302],"[20, 29, 11, 32, 22, 112, 122, 80, 105, 39]","[0.9995626, 0.99927413, 0.99883497, 0.99839795, 0.9968678, 0.99331224, 0.97875583, 0.97271574, 0.96825117, 0.95191145]"
16,Uc8l,[14 25],"[4, 10, 9, 14, 3, 34, 6, 152, 71, 262]","[0.99952126, 0.9981763, 0.997265, 0.9971353, 0.99565554, 0.9888526, 0.9778981, 0.9385143, 0.9226343, 0.8860376]"
17,Lo8l,[8],"[8, 13, 78, 33, 38, 188, 201, 6, 383, 4]","[0.99826247, 0.9938411, 0.9631609, 0.9593053, 0.9588142, 0.9582372, 0.954762, 0.94961655, 0.9423614, 0.9410286]"
18,PW8l,[  0   1  27  88 313],"[0, 27, 1, 42, 968, 808, 440, 85, 765, 104]","[1.0, 1.0, 1.0, 0.984463, 0.9678124, 0.96252966, 0.9542542, 0.93951106, 0.9369528, 0.92811704]"
19,6I8l,[0],"[54, 13, 164, 168, 175, 89, 310, 149, 4, 538]","[0.99972975, 0.9984764, 0.9959546, 0.9944471, 0.9869133, 0.9814184, 0.9765348, 0.9757984, 0.97444004, 0.9719809]"
20,Qu8l,[11 29 32],"[36, 7, 101, 39, 290, 927, 92, 66, 444, 385]","[0.91320956, 0.9042447, 0.9028356, 0.8977539, 0.87028515, 0.8692846, 0.8591582, 0.8571427, 0.855209, 0.8477967]"
21,Q98l,[ 4  9 10 37],"[9, 10, 34, 37, 4, 655, 421, 607, 539, 609]","[1.0, 1.0, 0.9999988, 0.99999833, 0.99999774, 0.9940069, 0.9738469, 0.97140217, 0.97001624, 0.96842897]"
22,Pp8l,[182],"[13, 54, 4, 10, 2, 9, 43, 3, 620, 170]","[0.97788334, 0.9760332, 0.97260964, 0.9700036, 0.9444856, 0.9300579, 0.9050919, 0.899078, 0.8912072, 0.8741648]"
23,dM8l,[12],"[12, 22, 11, 609, 791, 187, 20, 29, 32, 369]","[0.99425673, 0.99085903, 0.9894864, 0.97504205, 0.9716356, 0.9638689, 0.95753634, 0.95122755, 0.94385266, 0.93982774]"
24,mq8l,[  0  11 749],"[52, 12, 8, 91, 79, 110, 398, 61, 6, 11]","[0.8933071, 0.86841774, 0.86108506, 0.8520782, 0.8487388, 0.8176789, 0.8051739, 0.79777163, 0.7850444, 0.7839339]"
25,XQ8l,[3],"[3, 6, 14, 4, 324, 262, 474, 72, 503, 456]","[0.9999838, 0.99806356, 0.9933342, 0.95037556, 0.9212098, 0.90737474, 0.8879807, 0.87717164, 0.86855596, 0.8621504]"
26,yv8l,[ 71 191],"[14, 618, 152, 856, 466, 27, 50, 242, 191, 11]","[0.994434, 0.96859765, 0.95477676, 0.9536949, 0.9518771, 0.92977285, 0.92610943, 0.92551094, 0.92184985, 0.91966975]"
27,VF8l,[14],"[14, 71, 59, 152, 365, 663, 482, 111, 511, 808]","[0.99996054, 0.92281526, 0.89032143, 0.8810288, 0.8736162, 0.8228688, 0.8066574, 0.8038483, 0.80176437, 0.7976483]"
28,eB8l,[ 4  9 10 37],"[9, 37, 10, 4, 34, 655, 421, 33, 999, 3]","[1.0, 1.0, 1.0, 0.9999995, 0.9999509, 0.99626124, 0.9903021, 0.9838056, 0.9789046, 0.9671118]"
