,VideoId,True labels,Pred labels,Confidence
0,PA8l,[ 89 201],"[8, 11, 32, 20, 89, 18, 22, 201, 15, 17]","[0.9997748, 0.9968885, 0.9965074, 0.99577904, 0.9939698, 0.99023706, 0.9895521, 0.989503, 0.9836967, 0.97677195]"
1,x48l,[305],"[2, 7, 30, 17, 55, 19, 72, 174, 197, 98]","[1.0, 1.0, 1.0, 0.9999995, 0.9999988, 0.999916, 0.9996306, 0.9990722, 0.99833965, 0.99812865]"
2,HP8l,[ 4 10 13],"[54, 4, 13, 10, 3, 9, 41, 27, 34, 0]","[0.999801, 0.9995556, 0.99955153, 0.9994699, 0.9979274, 0.995501, 0.99318284, 0.97025484, 0.9669027, 0.9608825]"
3,HL8l,[ 21  23  24  73 504],"[131, 21, 74, 73, 209, 24, 23, 115, 684, 676]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99999654, 0.99999607, 0.99999547]"
4,er8l,[  0   1 139],"[0, 27, 1, 36, 139, 94, 35, 153, 142, 42]","[1.0, 1.0, 1.0, 0.9999987, 0.99999845, 0.99999046, 0.99997437, 0.9996362, 0.99913436, 0.9990797]"
5,LH8l,[6],"[8, 11, 22, 20, 0, 32, 558, 6, 29, 35]","[0.9999969, 0.99983895, 0.99981785, 0.9995118, 0.99878263, 0.9986001, 0.9970086, 0.9959768, 0.9951752, 0.9898025]"
6,AG8l,[ 26 466],"[0, 1, 36, 27, 94, 11, 12, 111, 18, 26]","[0.99999225, 0.99981415, 0.99884963, 0.99627554, 0.9961742, 0.9956081, 0.99217105, 0.9909824, 0.99091804, 0.9894186]"
7,E68l,[   2    7 1000],"[7, 2, 18, 90, 15, 30, 213, 64, 59, 8]","[0.99999857, 0.99999774, 0.99992007, 0.9997955, 0.99927914, 0.9985426, 0.9982941, 0.9978071, 0.9938297, 0.9930272]"
8,ni8l,[181 216],"[39, 202, 121, 207, 233, 156, 50, 393, 66, 181]","[0.9999997, 0.9999925, 0.9999807, 0.9999647, 0.99992937, 0.99990404, 0.9996604, 0.9989601, 0.99747586, 0.99324393]"
9,xZ8l,[993],"[11, 17, 32, 22, 8, 7, 19, 30, 20, 26]","[0.9996327, 0.9992523, 0.9947846, 0.9919952, 0.98951286, 0.9876915, 0.9867592, 0.9861394, 0.9851512, 0.9820639]"
10,Wi8l,[53 58],"[0, 1, 36, 12, 94, 35, 8, 118, 27, 52]","[0.9999901, 0.99950063, 0.9986799, 0.9971106, 0.99392235, 0.9926202, 0.9911759, 0.9911016, 0.9898695, 0.9884901]"
11,LZ8l,[ 62 411],"[11, 32, 20, 62, 22, 18, 64, 2, 101, 140]","[0.99955845, 0.9990765, 0.9968381, 0.99663377, 0.99539125, 0.9859485, 0.9806832, 0.9777703, 0.9745556, 0.97145855]"
12,f88l,[  1  46 264],"[2, 46, 44, 0, 36, 162, 109, 1, 155, 114]","[0.99999976, 0.99999726, 0.9999964, 0.9999826, 0.99997985, 0.9999733, 0.9999414, 0.9998989, 0.99989235, 0.9996481]"
13,R48l,[12],"[0, 1, 35, 27, 36, 63, 167, 94, 153, 85]","[1.0, 1.0, 0.9999877, 0.9999676, 0.9998385, 0.9998203, 0.99924326, 0.99903476, 0.9989047, 0.99798477]"
14,RX8l,[3],"[6, 3, 4, 13, 8, 32, 325, 91, 418, 17]","[0.99999785, 0.9999455, 0.9940876, 0.9924227, 0.9811661, 0.952639, 0.9230396, 0.91838646, 0.9166703, 0.90912664]"
15,Z78l,[ 11  20 123 302],"[11, 22, 20, 32, 29, 112, 8, 123, 426, 211]","[0.9999914, 0.999982, 0.9999737, 0.9999705, 0.9998051, 0.9988117, 0.9974419, 0.981786, 0.98096347, 0.9807521]"
16,Uc8l,[14 25],"[14, 11, 32, 20, 25, 22, 296, 101, 325, 30]","[0.9969542, 0.9832528, 0.967448, 0.96058995, 0.95792925, 0.95301455, 0.93657815, 0.9198399, 0.8975475, 0.8956267]"
17,Lo8l,[8],"[0, 12, 8, 1, 27, 91, 35, 18, 11, 153]","[0.9999994, 0.9997466, 0.999508, 0.99931574, 0.9989154, 0.9959627, 0.99562055, 0.989707, 0.988093, 0.98706084]"
18,PW8l,[  0   1  27  88 313],"[0, 27, 1, 35, 42, 36, 968, 153, 111, 63]","[1.0, 1.0, 1.0, 0.9999996, 0.9999965, 0.999984, 0.99996716, 0.9999325, 0.99989796, 0.9998657]"
19,6I8l,[0],"[54, 22, 12, 329, 79, 70, 52, 395, 202, 32]","[0.99869007, 0.9986042, 0.99811745, 0.9908829, 0.98943937, 0.9886347, 0.9814046, 0.981145, 0.97971594, 0.97962606]"
20,Qu8l,[11 29 32],"[11, 7, 8, 18, 30, 14, 311, 15, 32, 17]","[0.9954562, 0.994442, 0.9918048, 0.98905003, 0.98421663, 0.9820975, 0.9816841, 0.9809494, 0.9789943, 0.97893405]"
21,Q98l,[ 4  9 10 37],"[34, 4, 37, 10, 9, 54, 13, 97, 243, 840]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.9997911, 0.9993626, 0.99905956, 0.9985433, 0.9980633]"
22,Pp8l,[182],"[2, 7, 17, 18, 30, 101, 43, 15, 11, 32]","[0.99994934, 0.9986273, 0.99837434, 0.9973458, 0.9965184, 0.99636304, 0.99413216, 0.9924004, 0.9917586, 0.9846478]"
23,dM8l,[12],"[0, 1, 35, 12, 7, 27, 30, 11, 8, 94]","[0.9999975, 0.9998418, 0.99964947, 0.9996351, 0.9987249, 0.9985703, 0.9978801, 0.99755275, 0.99526507, 0.99517477]"
24,mq8l,[  0  11 749],"[11, 8, 32, 30, 17, 14, 20, 22, 385, 211]","[0.998736, 0.9984963, 0.99378544, 0.9882661, 0.9804882, 0.97939485, 0.9774716, 0.9686872, 0.96545005, 0.9627936]"
25,XQ8l,[3],"[0, 8, 11, 20, 32, 22, 14, 153, 350, 91]","[0.99628556, 0.9940249, 0.9930867, 0.9761518, 0.97169435, 0.97098005, 0.9660872, 0.9646998, 0.96460235, 0.95056206]"
26,yv8l,[ 71 191],"[11, 22, 20, 32, 29, 8, 35, 71, 15, 299]","[0.99966884, 0.99920744, 0.9985262, 0.9984745, 0.9874431, 0.9856874, 0.98400366, 0.980929, 0.97561884, 0.96986026]"
27,VF8l,[14],"[14, 11, 8, 15, 49, 18, 385, 101, 12, 25]","[0.9999836, 0.9929314, 0.98258543, 0.97040987, 0.9683559, 0.9658729, 0.9499319, 0.9413686, 0.94113266, 0.9340323]"
28,eB8l,[ 4  9 10 37],"[34, 37, 10, 9, 4, 14, 840, 1527, 771, 888]","[1.0, 1.0, 1.0, 1.0, 0.9999995, 0.9994614, 0.98903394, 0.9551791, 0.94689226, 0.94658697]"
29,hb8l,[391],"[32, 11, 308, 5, 26, 782, 20, 84, 181, 17]","[0.99986196, 0.9998562, 0.999686, 0.9994575, 0.9991877, 0.9982889, 0.9974065, 0.9948828, 0.9948745, 0.9944639]"
30,u88l,[ 0 12],"[0, 12, 91, 79, 1, 52, 27, 35, 63, 36]","[1.0, 1.0, 0.99999964, 0.9999851, 0.9999603, 0.99949163, 0.99943316, 0.9992943, 0.9988628, 0.9985634]"
31,dD8l,[801],"[14, 20, 2, 32, 22, 11, 39, 51, 156, 15]","[0.999256, 0.998955, 0.99838954, 0.9946064, 0.99304986, 0.9927994, 0.9899647, 0.98674834, 0.98627067, 0.9855186]"
32,AU8l,[ 3  4 14],"[14, 4, 3, 10, 9, 6, 34, 37, 16, 340]","[0.99993646, 0.9997064, 0.9994321, 0.9976672, 0.9976523, 0.9891606, 0.9476503, 0.94232696, 0.92159414, 0.9202541]"
33,8a8l,[  0   1   5  81 108 615],"[5, 32, 0, 11, 8, 16, 20, 22, 1, 27]","[0.99964154, 0.9992597, 0.9992476, 0.9981123, 0.9979455, 0.99735796, 0.9971559, 0.9954049, 0.99454963, 0.99286187]"
34,ha8l,[100],"[27, 8, 492, 92, 817, 14, 45, 294, 340, 764]","[0.9994576, 0.99920654, 0.99850905, 0.9967442, 0.9962735, 0.9945477, 0.98340046, 0.980806, 0.9794126, 0.9790622]"
35,y68l,[12],"[12, 3, 54, 13, 91, 79, 6, 41, 312, 14]","[0.99999833, 0.9999981, 0.9999589, 0.99987304, 0.9995918, 0.99862415, 0.9929521, 0.9926754, 0.9878281, 0.986937]"
