,VideoId,True labels,Pred labels,Confidence
0,PA8l,[ 89 201],"[33, 28, 38, 78, 13, 8, 4, 86, 89, 3]","[0.99989784, 0.99978614, 0.99970734, 0.99724007, 0.9964267, 0.9952006, 0.99099183, 0.98684394, 0.9811185, 0.9761555]"
1,fx8l,[ 15 277 400],"[60, 16, 15, 7, 54, 2, 3, 13, 29, 41]","[0.9253615, 0.92037654, 0.9043742, 0.9031946, 0.8875089, 0.8505452, 0.84508747, 0.84301615, 0.84109724, 0.81895185]"
2,8s8l,[25],"[25, 2, 0, 1, 53, 14, 17, 7, 55, 30]","[0.99199855, 0.9684377, 0.93885905, 0.89718914, 0.8858557, 0.8849107, 0.8741678, 0.8453615, 0.84268254, 0.8352951]"
3,x48l,[305],"[2, 7, 17, 19, 12, 46, 13, 55, 40, 38]","[0.999986, 0.9998475, 0.99861103, 0.9966394, 0.99308234, 0.99293524, 0.9762083, 0.97588694, 0.9706763, 0.9679589]"
4,HP8l,[ 4 10 13],"[3, 4, 13, 10, 6, 9, 41, 34, 38, 28]","[0.9999992, 0.99999857, 0.9999702, 0.999877, 0.9991759, 0.9990835, 0.9915506, 0.9807681, 0.97383136, 0.97094643]"
5,tO8l,[ 0 12],"[0, 12, 118, 19, 17, 79, 92, 43, 127, 52]","[0.9999976, 0.99994123, 0.9877095, 0.9669328, 0.9525784, 0.93706, 0.92960227, 0.9166316, 0.90334344, 0.9020719]"
6,HL8l,[ 21  23  24  73 504],"[21, 23, 24, 73, 131, 32, 27, 29, 146, 20]","[0.99997425, 0.9999398, 0.99989855, 0.99839866, 0.9685188, 0.965211, 0.9590529, 0.95269036, 0.9421251, 0.92449653]"
7,er8l,[  0   1 139],"[0, 1, 36, 63, 27, 132, 139, 335, 142, 15]","[1.0, 0.99999976, 0.99977005, 0.9936758, 0.9911426, 0.98397243, 0.9829923, 0.9806535, 0.9798291, 0.96611357]"
8,LH8l,[6],"[6, 3, 4, 41, 8, 13, 10, 54, 19, 31]","[0.9999467, 0.9999037, 0.9992637, 0.9981191, 0.9966985, 0.99659175, 0.973235, 0.9531467, 0.9439909, 0.9321081]"
9,Kg8l,[62],"[11, 22, 20, 32, 29, 15, 2, 18, 33, 43]","[0.9954138, 0.99495256, 0.9938363, 0.990481, 0.97543895, 0.9639424, 0.9607854, 0.9531136, 0.93358433, 0.91946244]"
10,cz8l,[  2 427],"[2, 17, 30, 7, 51, 45, 55, 19, 83, 60]","[0.9999033, 0.9966749, 0.99101484, 0.98736787, 0.97472423, 0.9716655, 0.9703096, 0.96814764, 0.94912565, 0.9226664]"
11,AG8l,[ 26 466],"[26, 11, 74, 21, 18, 92, 488, 134, 441, 83]","[0.9974081, 0.9639803, 0.9508735, 0.9418732, 0.93663263, 0.92578626, 0.9195581, 0.89265704, 0.8793739, 0.8786539]"
