,VideoId,True labels,Pred labels,Confidence
0,PA8l,[ 89 201],"[33, 28, 86, 38, 8, 78, 2, 9, 0, 13]","[0.999758, 0.9976537, 0.9974017, 0.9964498, 0.99596715, 0.99524045, 0.9908317, 0.99023914, 0.98864365, 0.9870876]"
1,fx8l,[ 15 277 400],"[1, 4, 2, 13, 0, 3, 54, 16, 15, 10]","[0.9867004, 0.9809108, 0.9751134, 0.96947885, 0.96878415, 0.9661599, 0.96523106, 0.95853186, 0.9532756, 0.94282615]"
2,8s8l,[25],"[2, 0, 25, 1, 13, 17, 12, 7, 30, 4]","[0.98814565, 0.9871876, 0.979729, 0.9678228, 0.94672954, 0.9451611, 0.9373745, 0.9281049, 0.90111727, 0.89762336]"
3,x48l,[305],"[0, 2, 7, 1, 4, 48, 46, 5, 104, 74]","[0.99995506, 0.999905, 0.9992972, 0.9992584, 0.998494, 0.9981187, 0.9975241, 0.9958677, 0.9943431, 0.9932494]"
4,HP8l,[ 4 10 13],"[3, 4, 10, 13, 1, 9, 0, 6, 34, 8]","[0.9997773, 0.9996363, 0.99850464, 0.993649, 0.9854347, 0.9851556, 0.98379743, 0.98308, 0.9821226, 0.9783873]"
5,tO8l,[ 0 12],"[0, 12, 5, 1, 33, 27, 4, 19, 60, 13]","[0.9997685, 0.99954104, 0.9984734, 0.99472153, 0.9942523, 0.9933542, 0.9924482, 0.9873489, 0.98647165, 0.98343176]"
6,HL8l,[ 21  23  24  73 504],"[0, 11, 1, 21, 27, 2, 20, 8, 24, 23]","[0.98873687, 0.98112714, 0.9749608, 0.97378683, 0.971877, 0.967265, 0.9671296, 0.9670984, 0.96288484, 0.9560821]"
7,er8l,[  0   1 139],"[0, 1, 36, 63, 8, 167, 2, 4, 18, 23]","[0.9999768, 0.9999392, 0.99760306, 0.99709487, 0.99672055, 0.9951397, 0.99486285, 0.9918024, 0.9897112, 0.98860866]"
8,LH8l,[6],"[3, 4, 6, 41, 13, 1, 8, 2, 54, 19]","[0.997519, 0.9949325, 0.99256825, 0.97607154, 0.97120756, 0.95183295, 0.9488673, 0.9373109, 0.9362687, 0.9242922]"
9,Kg8l,[62],"[0, 11, 1, 4, 15, 32, 29, 2, 49, 22]","[0.97960037, 0.9734676, 0.9478736, 0.9390178, 0.93424445, 0.930717, 0.92543775, 0.918838, 0.9166398, 0.8873071]"
10,cz8l,[  2 427],"[2, 7, 0, 19, 30, 45, 17, 8, 56, 12]","[0.9997202, 0.99263334, 0.9905821, 0.9900765, 0.9866075, 0.9827148, 0.9805688, 0.9802378, 0.9797819, 0.9754227]"
11,AG8l,[ 26 466],"[26, 0, 5, 1, 3, 25, 23, 294, 7, 260]","[0.9957645, 0.9919949, 0.9903963, 0.9880925, 0.9772742, 0.97594357, 0.97572386, 0.9689827, 0.9665156, 0.96543884]"
