,VideoId,True labels,Pred labels,Confidence
0,PA8l,[ 89 201],"[9, 3, 8, 13, 0, 6, 12, 2, 28, 1]","[0.9994528, 0.999281, 0.99924093, 0.9987985, 0.99776983, 0.9975736, 0.9970447, 0.99691224, 0.9965459, 0.9962347]"
1,fx8l,[ 15 277 400],"[4, 3, 2, 6, 10, 13, 0, 8, 7, 11]","[0.9935869, 0.99278355, 0.99002326, 0.9888227, 0.9857874, 0.9850638, 0.9811609, 0.98021007, 0.9801824, 0.97115886]"
2,8s8l,[25],"[1, 0, 14, 2, 8, 10, 5, 7, 4, 46]","[0.9700804, 0.96517915, 0.9530973, 0.95002645, 0.92620766, 0.91590697, 0.9129004, 0.89121157, 0.8859365, 0.8843341]"
3,x48l,[305],"[2, 7, 17, 55, 30, 4, 6, 9, 19, 72]","[0.9999881, 0.9995516, 0.99939764, 0.9992752, 0.9992455, 0.9990298, 0.9980122, 0.99799454, 0.9962494, 0.99619055]"
4,HP8l,[ 4 10 13],"[4, 9, 10, 3, 13, 0, 6, 1, 34, 54]","[0.9998894, 0.99977875, 0.9997715, 0.99913263, 0.9990275, 0.99761295, 0.9967218, 0.99481237, 0.9927448, 0.98672295]"
5,tO8l,[ 0 12],"[0, 12, 4, 79, 1, 91, 13, 5, 3, 9]","[0.999997, 0.9999939, 0.9964414, 0.9927791, 0.9912043, 0.9882331, 0.9856671, 0.9840146, 0.9838402, 0.9806361]"
6,HL8l,[ 21  23  24  73 504],"[23, 21, 24, 73, 1, 10, 0, 4, 5, 74]","[1.0, 1.0, 1.0, 0.99999815, 0.9999814, 0.9998722, 0.99975955, 0.9994911, 0.99941695, 0.9993711]"
7,er8l,[  0   1 139],"[0, 1, 4, 139, 8, 6, 13, 5, 10, 3]","[0.9999984, 0.99998546, 0.9996487, 0.99961317, 0.99954903, 0.99912643, 0.99906325, 0.9985386, 0.99852824, 0.99837726]"
8,LH8l,[6],"[6, 8, 0, 4, 1, 3, 2, 10, 9, 25]","[0.99998724, 0.99962497, 0.99954176, 0.99951875, 0.99933064, 0.99915427, 0.99850404, 0.9975325, 0.99590933, 0.9935676]"
9,Kg8l,[62],"[20, 11, 0, 22, 2, 13, 3, 6, 1, 32]","[0.9998648, 0.9995539, 0.99954, 0.999523, 0.99948543, 0.99935675, 0.99869895, 0.99849784, 0.99848294, 0.9979001]"
10,cz8l,[  2 427],"[2, 4, 13, 17, 43, 60, 6, 3, 30, 9]","[0.99960124, 0.99583447, 0.9950651, 0.99404734, 0.9918479, 0.99155533, 0.9910271, 0.99018204, 0.9893538, 0.9882938]"
11,AG8l,[ 26 466],"[0, 1, 13, 4, 3, 18, 5, 9, 36, 12]","[0.9999787, 0.99996305, 0.99977064, 0.9997362, 0.99963677, 0.99911094, 0.99875677, 0.9986317, 0.9985858, 0.9981711]"
12,E68l,[   2    7 1000],"[2, 7, 3, 4, 10, 13, 9, 18, 6, 11]","[0.9999714, 0.9998814, 0.9996421, 0.99946284, 0.9993179, 0.99830246, 0.9977689, 0.9974463, 0.9966931, 0.9924605]"
13,JY8l,[ 0 12],"[12, 0, 79, 4, 91, 10, 3, 13, 5, 11]","[0.9999985, 0.9999931, 0.9927932, 0.99058366, 0.9891887, 0.9864109, 0.9854492, 0.98519063, 0.9836929, 0.9833859]"
14,ni8l,[181 216],"[1, 39, 4, 0, 10, 9, 13, 3, 8, 11]","[0.999836, 0.9998038, 0.999678, 0.9996195, 0.9996003, 0.9995637, 0.99951077, 0.9993143, 0.9983065, 0.9974532]"
15,xZ8l,[993],"[0, 6, 10, 3, 2, 8, 17, 1, 5, 4]","[0.9996511, 0.9982137, 0.9973251, 0.9971098, 0.99688196, 0.99613976, 0.9952291, 0.99500924, 0.99461305, 0.9941286]"
