pseudo_id,labels,n_frames,n_labels
lKbF,"[1, 19, 2852, 3477]",287,4
HebF,"[3, 6]",176,2
GkbF,[66],199,1
q2bF,[14],247,1
aUbF,"[141, 247, 255]",300,3
A9bF,"[2, 17, 30, 55, 174]",300,5
52bF,[25],136,1
gNbF,"[2, 7]",300,2
6ZbF,"[1, 246, 658]",274,3
rubF,"[39, 66]",123,2
UqbF,[11],195,1
ATbF,"[0, 1, 245, 2799]",272,4
3lbF,"[39, 181, 216, 222, 249]",300,5
UGbF,"[3, 4, 6, 10, 13]",156,5
oJbF,"[0, 1, 337, 1116]",202,4
exbF,[12],236,1
CFbF,"[39, 121, 156, 393, 3791]",300,5
CsbF,"[3, 4, 6, 9, 10, 13, 28, 33, 37, 38, 375]",292,11
pUbF,"[0, 1]",300,2
DLbF,[333],221,1
24bF,"[2, 7, 235]",261,3
abbF,[3],300,1
sEbF,"[4, 9, 10, 34]",143,4
gZbF,"[49, 1440]",300,2
osbF,[15],205,1
AZbF,"[2, 7, 90, 2391, 3246]",259,5
qhbF,"[0, 1, 42, 290, 431]",300,5
q9bF,"[0, 1, 19]",300,3
YpbF,"[68, 72, 98, 151]",123,4
9rbF,[885],149,1
p8bF,"[54, 154]",300,2
yBbF,"[14, 1109]",262,2
gkbF,"[2, 7]",246,2
bHbF,"[3, 324]",241,2
kobF,"[50, 65, 256, 661]",300,4
2jbF,"[818, 2446, 3489]",300,3
XdbF,"[3, 4]",272,2
HcbF,"[21, 23, 73, 146]",203,4
vCbF,"[25, 315]",146,2
WmbF,"[6, 41]",300,2
X8bF,"[309, 1147]",237,2
qjbF,"[3, 4, 9, 28, 33, 38]",248,6
gYbF,[11],300,1
UbbF,"[3, 4, 6, 9, 10, 13, 28, 33, 38]",300,9
4rbF,"[4, 9, 10, 37]",300,4
GfbF,"[9, 10, 34]",300,3
ztbF,[598],141,1
t7bF,"[15, 686, 1835]",158,3
BybF,[26],143,1
a0bF,"[3, 28, 33, 38]",300,4
XzbF,"[0, 62, 479]",214,3
6mbF,"[31, 40, 47, 57, 117]",243,5
LPbF,[952],130,1
NgbF,"[3, 4, 6, 9, 14]",195,5
dnbF,"[0, 1, 5, 1844]",163,4
TTbF,[3],205,1
iBbF,"[5, 319]",221,2
BkbF,"[11, 20, 22, 29, 123, 250, 1672]",172,7
sIbF,"[39, 121]",300,2
YUbF,[857],186,1
xmbF,"[0, 1, 132, 142]",300,4
wNbF,"[17, 19, 55, 272, 448]",211,5
GgbF,"[0, 1, 5, 81, 108, 615]",300,6
7ybF,[8],297,1
LFbF,"[6, 136, 2399]",165,3
zsbF,"[11, 20, 22, 176]",300,4
mxbF,"[1, 124, 180, 1026]",300,4
gnbF,"[2, 17, 19]",250,3
W0bF,"[2, 45, 51, 291]",301,4
aibF,[1195],257,1
SWbF,"[0, 139]",225,2
eQbF,"[0, 1, 35, 230]",260,4
VYbF,"[48, 2129]",300,2
LibF,"[261, 333]",268,2
MRbF,"[0, 1, 180]",154,3
kpbF,"[6, 8]",254,2
LCbF,"[3, 4, 6]",186,3
XibF,"[2, 26, 64, 75, 95, 149, 235, 1628, 2740]",300,9
PnbF,"[49, 80, 418, 725]",139,4
u8bF,"[2, 45, 51, 56, 77, 295]",300,6
g0bF,"[2, 44, 46, 155, 264, 377]",138,6
DpbF,"[746, 1289]",189,2
PvbF,"[5, 662]",199,2
ubbF,"[11, 1366, 1684, 1872, 2312]",132,5
6UbF,"[4, 9, 10, 37, 421, 2208]",199,6
jabF,"[3, 4, 6, 9, 10, 34]",234,6
NIbF,"[53, 58, 151, 228]",120,4
UvbF,[33],210,1
jgbF,[8],162,1
MGbF,"[15, 363, 533, 1102, 1816, 2794]",300,6
mcbF,[12],153,1
EQbF,"[4, 9, 10, 37]",161,4
ijbF,"[15, 26, 1044, 1090]",300,4
zIbF,"[2, 347]",142,2
8wbF,[106],300,1
L5bF,"[0, 36, 94]",226,3
2ObF,[26],236,1
xYbF,[21],234,1
FAbF,[3],231,1
lSbF,[8],300,1
ABbF,[12],165,1
NzbF,[964],300,1
dPbF,"[100, 161]",300,2
vybF,"[0, 1, 35, 85]",300,4
dDbF,[419],134,1
z1bF,"[39, 121, 156, 202, 207, 393]",282,6
upbF,"[16, 636, 816]",208,3
SqbF,"[0, 92, 329]",300,3
ilbF,"[0, 1, 577]",181,3
D1bF,"[4, 13]",276,2
wkbF,"[3, 4, 13]",254,3
eibF,[14],290,1
yxbF,[14],194,1
SebF,[449],300,1
NLbF,"[0, 12, 79, 210, 696, 2736]",300,6
RmbF,"[11, 20, 22, 29, 2904]",275,5
6EbF,"[0, 215, 217, 611]",229,4
YbbF,"[21, 23, 24, 115, 879, 1246, 1509]",300,7
gLbF,"[39, 121]",300,2
BpbF,[2643],224,1
BxbF,"[0, 12]",300,2
JFbF,"[0, 1, 372, 1239]",300,4
1cbF,"[0, 1, 25]",187,3
84bF,[14],300,1
XabF,[3],300,1
mXbF,"[3, 4, 13, 54]",231,4
a1bF,"[0, 1, 339, 687]",203,4
YKbF,"[9, 10, 37]",128,3
IDbF,[0],300,1
qDbF,[6],300,1
7IbF,"[2, 30]",235,2
XwbF,"[21, 23, 74, 131, 209, 994]",213,6
PFbF,"[68, 151]",300,2
BqbF,"[6, 8, 558]",300,3
MVbF,"[82, 103, 346, 350]",300,4
WDbF,[14],226,1
VfbF,"[11, 302]",175,2
9mbF,"[0, 215, 1571]",273,3
jcbF,[14],190,1
WibF,"[21, 23, 24, 73, 115, 520, 651]",300,7
OpbF,"[5, 16, 136]",269,3
WwbF,"[0, 1, 42, 306]",300,4
VubF,"[0, 1, 35, 227, 285, 1181]",224,6
CxbF,[8],146,1
ajbF,"[11, 20, 32, 123, 176, 462, 996, 1379]",300,8
1vbF,"[3, 4]",276,2
k2bF,"[2, 18, 43, 59, 60, 76, 101, 286, 385, 1415]",300,10
FCbF,"[15, 18, 67, 140, 1486, 1733]",128,6
AbbF,"[3, 4, 9, 13, 28, 33, 38]",300,7
qQbF,"[3, 6]",206,2
6bbF,"[1, 105, 192, 331, 455, 1694]",300,6
XfbF,"[1, 157, 407]",300,3
sGbF,"[0, 1, 294]",243,3
h7bF,"[105, 294, 410, 488]",300,4
lDbF,"[5, 826]",171,2
z4bF,"[26, 526, 527, 1259]",219,4
BabF,"[0, 12]",120,2
brbF,[14],288,1
GWbF,"[50, 65, 355, 781]",225,4
BFbF,"[16, 25, 189, 645, 741, 2052]",133,6
oybF,"[39, 66]",300,2
eEbF,[14],156,1
ScbF,"[0, 79]",253,2
Z7bF,"[0, 1, 591, 761]",259,4
2zbF,[25],126,1
R2bF,"[227, 474]",254,2
BhbF,"[0, 1]",180,2
pObF,"[0, 5, 759]",163,3
dbbF,[12],230,1
JHbF,[284],300,1
VkbF,"[0, 193, 577]",195,3
5cbF,"[3, 1698]",273,2
zUbF,[39],249,1
dNbF,[25],152,1
vebF,"[3, 6]",282,2
i7bF,"[3, 4, 6, 33, 2103]",300,5
U9bF,"[0, 1, 35, 230]",121,4
gJbF,[958],209,1
OJbF,[1260],152,1
CNbF,"[2, 7, 208, 1134]",224,4
ZdbF,"[0, 254, 1364, 1886, 1970, 2900]",166,6
jKbF,"[6, 8]",300,2
L8bF,"[5, 16, 25]",129,3
1DbF,"[11, 83, 720]",300,3
UEbF,"[14, 31]",290,2
t6bF,"[0, 1, 27]",300,3
ZabF,"[60, 166, 333, 398]",165,4
hAbF,[2],154,1
CrbF,[15],300,1
5xbF,"[17, 19, 55, 272]",119,4
rXbF,"[4, 9, 10]",234,3
T8bF,[682],271,1
gybF,"[99, 195]",122,2
jYbF,"[0, 1, 35, 230]",300,4
uxbF,"[3, 3021]",218,2
ZzbF,[740],122,1
AGbF,"[1, 21, 24, 758]",300,4
3LbF,"[0, 1, 563]",141,3
8cbF,"[0, 42, 306, 1098]",125,4
IqbF,"[0, 1, 69, 236]",176,4
zubF,"[11, 20, 22, 1049]",300,4
21bF,"[26, 259]",300,2
tVbF,"[9, 14]",189,2
3HbF,[308],266,1
GmbF,"[0, 1, 395, 3589]",123,4
IrbF,"[3, 4, 9, 10, 37]",142,5
e2bF,"[0, 223]",133,2
SGbF,"[1, 35, 2893]",300,3
rGbF,"[2, 7, 116, 174, 361]",300,5
7obF,"[3, 4, 13, 28, 33, 38, 78]",206,7
9PbF,"[48, 61]",268,2
lCbF,[237],122,1
oYbF,"[15, 60, 186, 239, 2785]",132,5
oebF,"[3, 4, 6]",240,3
gjbF,[11],162,1
7EbF,"[68, 72, 98, 151, 311]",300,5
isbF,[237],230,1
qxbF,"[2, 7, 90]",270,3
QIbF,"[2, 30, 55, 60, 428]",300,5
jqbF,"[2, 7, 464, 495]",300,4
AdbF,[1365],173,1
MSbF,[2],150,1
8ebF,"[24, 74, 131, 187, 200]",145,5
qRbF,"[2, 44, 46, 107, 109, 114, 138, 145, 2197]",300,9
cvbF,"[28, 33, 38]",252,3
EcbF,[354],147,1
OlbF,"[11, 20, 22, 29, 32, 112, 120, 173, 444, 543, 559, 572, 1764, 2223, 2864]",292,15
aPbF,"[100, 161]",162,2
vkbF,[3],267,1
RKbF,"[1, 21, 23, 24, 73, 288, 322]",160,7
T0bF,"[6, 8, 225]",162,3
ZZbF,"[18, 43, 59, 60, 101, 549, 693, 906]",125,8
QFbF,[66],300,1
a7bF,[164],300,1
nHbF,"[3, 4, 13, 54]",227,4
YRbF,[381],170,1
fwbF,"[53, 210]",225,2
eqbF,[14],234,1
vQbF,"[0, 12]",166,2
AXbF,"[46, 155, 162, 264, 377]",155,5
rDbF,"[5, 597]",300,2
69bF,"[12, 329]",287,2
IPbF,"[9, 34]",142,2
2wbF,[5],265,1
cwbF,"[181, 216, 222, 249]",300,4
PcbF,"[2, 17, 19, 30, 55, 272]",235,6
